time,flow
00:00,86
00:15,83
00:30,52
00:45,58
01:00,59
01:15,44
01:30,31
01:45,37
02:00,30
02:15,24
02:30,16
02:45,24
03:00,25
03:15,25
03:30,15
03:45,6
04:00,21
04:15,17
04:30,15
04:45,15
05:00,16
05:15,21
05:30,27
05:45,21
06:00,25
06:15,32
06:30,61
06:45,48
07:00,56
07:15,66
07:30,77
07:45,79
08:00,67
08:15,93
08:30,103
08:45,130
09:00,154
09:15,149
09:30,210
09:45,229
10:00,250
10:15,246
10:30,266
10:45,254
11:00,300
11:15,275
11:30,322
11:45,292
12:00,315
12:15,314
12:30,308
12:45,280
13:00,357
13:15,298
13:30,281
13:45,289
14:00,345
14:15,297
14:30,233
14:45,227
15:00,273
15:15,225
15:30,265
15:45,257
16:00,233
16:15,244
16:30,259
16:45,264
17:00,265
17:15,253
17:30,243
17:45,210
18:00,216
18:15,202
18:30,177
18:45,169
19:00,167
19:15,136
19:30,131
19:45,128
20:00,118
20:15,121
20:30,87
20:45,113
21:00,142
21:15,112
21:30,114
21:45,97
22:00,97
22:15,66
22:30,81
22:45,50
23:00,59
23:15,47
23:30,29
23:45,34
00:00,32
00:15,28
00:30,17
00:45,11
01:00,7
01:15,11
01:30,6
01:45,15
02:00,11
02:15,12
02:30,6
02:45,9
03:00,1
03:15,4
03:30,11
03:45,9
04:00,11
04:15,16
04:30,22
04:45,14
05:00,28
05:15,26
05:30,57
05:45,57
06:00,70
06:15,136
06:30,221
06:45,196
07:00,239
07:15,366
07:30,355
07:45,400
08:00,401
08:15,400
08:30,395
08:45,367
09:00,315
09:15,308
09:30,302
09:45,306
10:00,245
10:15,286
10:30,279
10:45,275
11:00,227
11:15,234
11:30,236
11:45,239
12:00,320
12:15,254
12:30,242
12:45,261
13:00,251
13:15,290
13:30,254
13:45,256
14:00,283
14:15,226
14:30,276
14:45,271
15:00,281
15:15,285
15:30,306
15:45,301
16:00,327
16:15,340
16:30,294
16:45,326
17:00,277
17:15,382
17:30,320
17:45,377
18:00,259
18:15,298
18:30,218
18:45,190
19:00,186
19:15,172
19:30,161
19:45,158
20:00,134
20:15,141
20:30,119
20:45,142
21:00,103
21:15,108
21:30,111
21:45,102
22:00,107
22:15,114
22:30,80
22:45,60
23:00,62
23:15,48
23:30,44
23:45,26
00:00,26
00:15,32
00:30,21
00:45,14
01:00,10
01:15,12
01:30,13
01:45,10
02:00,9
02:15,7
02:30,8
02:45,5
03:00,5
03:15,6
03:30,11
03:45,12
04:00,8
04:15,11
04:30,13
04:45,10
05:00,23
05:15,37
05:30,64
05:45,95
06:00,90
06:15,183
06:30,219
06:45,251
07:00,302
07:15,307
07:30,410
07:45,351
08:00,411
08:15,408
08:30,405
08:45,372
09:00,330
09:15,366
09:30,360
09:45,317
10:00,312
10:15,289
10:30,293
10:45,299
11:00,293
11:15,273
11:30,264
11:45,264
12:00,290
12:15,260
12:30,286
12:45,272
13:00,274
13:15,270
13:30,259
13:45,313
14:00,281
14:15,347
14:30,280
14:45,266
15:00,347
15:15,277
15:30,328
15:45,318
16:00,357
16:15,347
16:30,381
16:45,288
17:00,358
17:15,338
17:30,365
17:45,369
18:00,296
18:15,335
18:30,269
18:45,232
19:00,211
19:15,198
19:30,176
19:45,163
20:00,155
20:15,140
20:30,135
20:45,129
21:00,139
21:15,146
21:30,130
21:45,132
22:00,114
22:15,86
22:30,93
22:45,90
23:00,73
23:15,57
23:30,29
23:45,40
00:00,32
00:15,22
00:30,28
00:45,13
01:00,16
01:15,8
01:30,14
01:45,10
02:00,8
02:15,8
02:30,7
02:45,6
03:00,8
03:15,2
03:30,7
03:45,10
04:00,8
04:15,14
04:30,16
04:45,12
05:00,24
05:15,37
05:30,62
05:45,84
06:00,82
06:15,166
06:30,230
06:45,235
07:00,256
07:15,336
07:30,316
07:45,392
08:00,374
08:15,392
08:30,417
08:45,380
09:00,376
09:15,328
09:30,324
09:45,338
10:00,282
10:15,272
10:30,290
10:45,340
11:00,301
11:15,288
11:30,258
11:45,272
12:00,319
12:15,315
12:30,251
12:45,281
13:00,294
13:15,301
13:30,300
13:45,288
14:00,282
14:15,260
14:30,247
14:45,252
15:00,320
15:15,300
15:30,264
15:45,329
16:00,359
16:15,345
16:30,270
16:45,338
17:00,308
17:15,340
17:30,377
17:45,335
18:00,352
18:15,290
18:30,258
18:45,281
19:00,237
19:15,203
19:30,167
19:45,165
20:00,133
20:15,163
20:30,135
20:45,141
21:00,137
21:15,158
21:30,115
21:45,113
22:00,132
22:15,101
22:30,113
22:45,90
23:00,78
23:15,66
23:30,52
23:45,44
00:00,40
00:15,39
00:30,21
00:45,11
01:00,16
01:15,9
01:30,15
01:45,15
02:00,9
02:15,6
02:30,9
02:45,4
03:00,4
03:15,1
03:30,11
03:45,9
04:00,17
04:15,13
04:30,16
04:45,15
05:00,23
05:15,35
05:30,58
05:45,79
06:00,81
06:15,139
06:30,238
06:45,235
07:00,235
07:15,328
07:30,344
07:45,315
08:00,359
08:15,434
08:30,375
08:45,365
09:00,356
09:15,362
09:30,328
09:45,330
10:00,327
10:15,276
10:30,311
10:45,281
11:00,303
11:15,324
11:30,285
11:45,301
12:00,331
12:15,296
12:30,302
12:45,299
13:00,290
13:15,281
13:30,308
13:45,294
14:00,303
14:15,296
14:30,265
14:45,306
15:00,312
15:15,322
15:30,343
15:45,317
16:00,397
16:15,385
16:30,388
16:45,324
17:00,348
17:15,361
17:30,372
17:45,396
18:00,315
18:15,334
18:30,309
18:45,271
19:00,251
19:15,262
19:30,228
19:45,196
20:00,176
20:15,152
20:30,146
20:45,167
21:00,122
21:15,150
21:30,171
21:45,120
22:00,116
22:15,113
22:30,99
22:45,91
23:00,61
23:15,55
23:30,49
23:45,36
00:00,36
00:15,30
00:30,27
00:45,13
01:00,19
01:15,16
01:30,21
01:45,18
02:00,18
02:15,8
02:30,1
02:45,9
03:00,10
03:15,8
03:30,10
03:45,11
04:00,13
04:15,11
04:30,16
04:45,14
05:00,20
05:15,35
05:30,52
05:45,63
06:00,96
06:15,172
06:30,230
06:45,251
07:00,275
07:15,283
07:30,382
07:45,344
08:00,392
08:15,395
08:30,351
08:45,394
09:00,358
09:15,337
09:30,348
09:45,331
10:00,299
10:15,310
10:30,332
10:45,317
11:00,328
11:15,294
11:30,318
11:45,332
12:00,311
12:15,337
12:30,319
12:45,271
13:00,288
13:15,346
13:30,289
13:45,330
14:00,303
14:15,324
14:30,307
14:45,322
15:00,331
15:15,353
15:30,345
15:45,342
16:00,337
16:15,361
16:30,319
16:45,319
17:00,350
17:15,376
17:30,392
17:45,339
18:00,357
18:15,348
18:30,324
18:45,327
19:00,279
19:15,267
19:30,281
19:45,214
20:00,172
20:15,152
20:30,157
20:45,154
21:00,137
21:15,152
21:30,141
21:45,137
22:00,135
22:15,136
22:30,108
22:45,120
23:00,115
23:15,102
23:30,74
23:45,78
00:00,62
00:15,66
00:30,57
00:45,45
01:00,45
01:15,27
01:30,36
01:45,29
02:00,29
02:15,22
02:30,19
02:45,19
03:00,15
03:15,31
03:30,17
03:45,25
04:00,17
04:15,26
04:30,21
04:45,23
05:00,19
05:15,31
05:30,38
05:45,43
06:00,49
06:15,86
06:30,108
06:45,107
07:00,93
07:15,120
07:30,139
07:45,199
08:00,174
08:15,206
08:30,261
08:45,296
09:00,292
09:15,283
09:30,307
09:45,320
10:00,273
10:15,340
10:30,365
10:45,333
11:00,350
11:15,366
11:30,377
11:45,367
12:00,371
12:15,373
12:30,398
12:45,344
13:00,371
13:15,300
13:30,368
13:45,378
14:00,322
14:15,346
14:30,302
14:45,260
15:00,262
15:15,283
15:30,312
15:45,264
16:00,285
16:15,292
16:30,273
16:45,239
17:00,229
17:15,286
17:30,268
17:45,331
18:00,287
18:15,262
18:30,283
18:45,244
19:00,219
19:15,222
19:30,206
19:45,179
20:00,156
20:15,157
20:30,137
20:45,125
21:00,126
21:15,139
21:30,119
21:45,153
22:00,133
22:15,109
22:30,140
22:45,121
23:00,123
23:15,115
23:30,107
23:45,127
00:00,116
00:15,86
00:30,81
00:45,65
01:00,65
01:15,51
01:30,38
01:45,36
02:00,37
02:15,18
02:30,27
02:45,18
03:00,15
03:15,15
03:30,13
03:45,20
04:00,14
04:15,17
04:30,13
04:45,14
05:00,15
05:15,19
05:30,20
05:45,25
06:00,38
06:15,47
06:30,87
06:45,101
07:00,81
07:15,87
07:30,87
07:45,93
08:00,93
08:15,123
08:30,121
08:45,146
09:00,162
