Route_ID,START_LAT,START_LONG,END_LAT,END_LONG,Time,Time_Taken
84,-37.86735,145.09195,-37.82284,145.05684,18:0,16 mins
85,-37.86735,145.09195,-37.80225,145.06081,7:0,16 mins
86,-37.86735,145.09195,-37.80225,145.06081,12:0,18 mins
87,-37.86735,145.09195,-37.80225,145.06081,18:0,19 mins
88,-37.86735,145.09195,-37.81184,145.05901,7:0,16 mins
89,-37.86735,145.09195,-37.81184,145.05901,12:0,17 mins
90,-37.86735,145.09195,-37.81184,145.05901,18:0,18 mins
91,-37.86735,145.09195,-37.79419,145.0696,7:0,18 mins
92,-37.86735,145.09195,-37.79419,145.0696,12:0,20 mins
93,-37.86735,145.09195,-37.79419,145.0696,18:0,20 mins
94,-37.86735,145.09195,-37.79567,145.06111,7:0,18 mins
95,-37.86735,145.09195,-37.79567,145.06111,12:0,20 mins
96,-37.86735,145.09195,-37.79567,145.06111,18:0,21 mins
97,-37.86735,145.09195,-37.82405,145.03349,7:0,15 mins
98,-37.86735,145.09195,-37.82405,145.03349,12:0,17 mins
99,-37.86735,145.09195,-37.82405,145.03349,18:0,18 mins
100,-37.86735,145.09195,-37.78267,145.07729,7:0,19 mins
101,-37.86735,145.09195,-37.78267,145.07729,12:0,21 mins
102,-37.86735,145.09195,-37.78267,145.07729,18:0,22 mins
103,-37.86735,145.09195,-37.81521,145.02706,7:0,17 mins
104,-37.86735,145.09195,-37.81521,145.02706,12:0,18 mins
105,-37.86735,145.09195,-37.81521,145.02706,18:0,19 mins
106,-37.86735,145.09195,-37.82518,145.04301,7:0,13 mins
107,-37.86735,145.09195,-37.82518,145.04301,12:0,15 mins
108,-37.86735,145.09195,-37.82518,145.04301,18:0,16 mins
109,-37.86735,145.09195,-37.81184,145.05901,7:0,16 mins
110,-37.86735,145.09195,-37.81184,145.05901,12:0,17 mins
111,-37.86735,145.09195,-37.81184,145.05901,18:0,18 mins
112,-37.86735,145.09195,-37.82542,145.04346,7:0,13 mins
113,-37.86735,145.09195,-37.82542,145.04346,12:0,15 mins
114,-37.86735,145.09195,-37.82542,145.04346,18:0,15 mins
115,-37.86735,145.09195,-37.81469,145.02261,7:0,17 mins
116,-37.86735,145.09195,-37.81469,145.02261,12:0,19 mins
117,-37.86735,145.09195,-37.81469,145.02261,18:0,19 mins
118,-37.86735,145.09195,-37.8151,145.02608,7:0,17 mins
119,-37.86735,145.09195,-37.8151,145.02608,12:0,19 mins
120,-37.86735,145.09195,-37.8151,145.02608,18:0,19 mins
121,-37.86735,145.09195,-37.82389,145.03409,7:0,15 mins
122,-37.86735,145.09195,-37.82389,145.03409,12:0,17 mins
123,-37.86735,145.09195,-37.82389,145.03409,18:0,17 mins
124,-37.86735,145.09195,-37.81441,145.02243,7:0,17 mins
125,-37.86735,145.09195,-37.81441,145.02243,12:0,19 mins
126,-37.86735,145.09195,-37.81441,145.02243,18:0,19 mins
127,-37.86735,145.09195,-37.81184,145.05901,7:0,16 mins
128,-37.86735,145.09195,-37.81184,145.05901,12:0,17 mins
129,-37.86735,145.09195,-37.81184,145.05901,18:0,18 mins
130,-37.86735,145.09195,-37.83284,145.05505,7:0,11 mins
131,-37.86735,145.09195,-37.83284,145.05505,12:0,13 mins
132,-37.86735,145.09195,-37.83284,145.05505,18:0,13 mins
133,-37.86735,145.09195,-37.8188,145.05739,7:0,14 mins
134,-37.86735,145.09195,-37.8188,145.05739,12:0,15 mins
135,-37.86735,145.09195,-37.8188,145.05739,18:0,16 mins
136,-37.86735,145.09195,-37.82295,145.05773,7:0,14 mins
137,-37.86735,145.09195,-37.82295,145.05773,12:0,15 mins
138,-37.86735,145.09195,-37.82295,145.05773,18:0,16 mins
139,-37.86735,145.09195,-37.81457,145.02161,7:0,17 mins
