Route_ID,START_LAT,START_LONG,END_LAT,END_LONG,Day,Time,Time_Taken
71,-37.86703,145.09159,-37.81631,145.09812,Saturday,12:0,13 mins
72,-37.86703,145.09159,-37.81631,145.09812,Saturday,18:0,12 mins
73,-37.86703,145.09159,-37.81655,145.09831,Monday,7:0,11 mins
74,-37.86703,145.09159,-37.81655,145.09831,Monday,12:0,11 mins
75,-37.86703,145.09159,-37.81655,145.09831,Monday,18:0,13 mins
76,-37.86703,145.09159,-37.81655,145.09831,Friday,7:0,11 mins
77,-37.86703,145.09159,-37.81655,145.09831,Friday,12:0,12 mins
78,-37.86703,145.09159,-37.81655,145.09831,Friday,18:0,14 mins
79,-37.86703,145.09159,-37.81655,145.09831,Saturday,7:0,9 mins
80,-37.86703,145.09159,-37.81655,145.09831,Saturday,12:0,12 mins
81,-37.86703,145.09159,-37.81655,145.09831,Saturday,18:0,12 mins
82,-37.86703,145.09159,-37.81682,145.09802,Monday,7:0,11 mins
83,-37.86703,145.09159,-37.81682,145.09802,Monday,12:0,11 mins
84,-37.86703,145.09159,-37.81682,145.09802,Monday,18:0,13 mins
85,-37.86703,145.09159,-37.81682,145.09802,Friday,7:0,11 mins
86,-37.86703,145.09159,-37.81682,145.09802,Friday,12:0,12 mins
87,-37.86703,145.09159,-37.81682,145.09802,Friday,18:0,13 mins
88,-37.86703,145.09159,-37.81682,145.09802,Saturday,7:0,9 mins
89,-37.86703,145.09159,-37.81682,145.09802,Saturday,12:0,12 mins
90,-37.86703,145.09159,-37.81682,145.09802,Saturday,18:0,12 mins
91,-37.86703,145.09159,-37.8164799,145.0977388,Monday,7:0,11 mins
92,-37.86703,145.09159,-37.8164799,145.0977388,Monday,12:0,11 mins
93,-37.86703,145.09159,-37.8164799,145.0977388,Monday,18:0,13 mins
94,-37.86703,145.09159,-37.8164799,145.0977388,Friday,7:0,11 mins
95,-37.86703,145.09159,-37.8164799,145.0977388,Friday,12:0,12 mins
96,-37.86703,145.09159,-37.8164799,145.0977388,Friday,18:0,14 mins
97,-37.86703,145.09159,-37.8164799,145.0977388,Saturday,7:0,9 mins
98,-37.86703,145.09159,-37.8164799,145.0977388,Saturday,12:0,12 mins
99,-37.86703,145.09159,-37.8164799,145.0977388,Saturday,18:0,12 mins
100,-37.86703,145.09159,-37.79477,145.03077,Monday,7:0,22 mins
101,-37.86703,145.09159,-37.79477,145.03077,Monday,12:0,22 mins
102,-37.86703,145.09159,-37.79477,145.03077,Monday,18:0,26 mins
103,-37.86703,145.09159,-37.79477,145.03077,Friday,7:0,22 mins
104,-37.86703,145.09159,-37.79477,145.03077,Friday,12:0,26 mins
105,-37.86703,145.09159,-37.79477,145.03077,Friday,18:0,28 mins
106,-37.86703,145.09159,-37.79477,145.03077,Saturday,7:0,18 mins
107,-37.86703,145.09159,-37.79477,145.03077,Saturday,12:0,28 mins
108,-37.86703,145.09159,-37.79477,145.03077,Saturday,18:0,25 mins
109,-37.86703,145.09159,-37.7948,145.03015,Monday,7:0,22 mins
110,-37.86703,145.09159,-37.7948,145.03015,Monday,12:0,23 mins
111,-37.86703,145.09159,-37.7948,145.03015,Monday,18:0,26 mins
112,-37.86703,145.09159,-37.7948,145.03015,Friday,7:0,22 mins
113,-37.86703,145.09159,-37.7948,145.03015,Friday,12:0,26 mins
114,-37.86703,145.09159,-37.7948,145.03015,Friday,18:0,28 mins
115,-37.86703,145.09159,-37.7948,145.03015,Saturday,7:0,18 mins
116,-37.86703,145.09159,-37.7948,145.03015,Saturday,12:0,28 mins
117,-37.86703,145.09159,-37.7948,145.03015,Saturday,18:0,25 mins
118,-37.86703,145.09159,-37.78661,145.06202,Monday,7:0,21 mins
119,-37.86703,145.09159,-37.78661,145.06202,Monday,12:0,22 mins
120,-37.86703,145.09159,-37.78661,145.06202,Monday,18:0,24 mins
121,-37.86703,145.09159,-37.78661,145.06202,Friday,7:0,21 mins
122,-37.86703,145.09159,-37.78661,145.06202,Friday,12:0,24 mins
123,-37.86703,145.09159,-37.78661,145.06202,Friday,18:0,26 mins
124,-37.86703,145.09159,-37.78661,145.06202,Saturday,7:0,17 mins
125,-37.86703,145.09159,-37.78661,145.06202,Saturday,12:0,26 mins
126,-37.86703,145.09159,-37.78661,145.06202,Saturday,18:0,23 mins
127,-37.86703,145.09159,-37.78093,145.07733,Monday,7:0,19 mins
128,-37.86703,145.09159,-37.78093,145.07733,Monday,12:0,19 mins
129,-37.86703,145.09159,-37.78093,145.07733,Monday,18:0,22 mins
130,-37.86703,145.09159,-37.78093,145.07733,Friday,7:0,19 mins
131,-37.86703,145.09159,-37.78093,145.07733,Friday,12:0,21 mins
132,-37.86703,145.09159,-37.78093,145.07733,Friday,18:0,23 mins
133,-37.86703,145.09159,-37.78093,145.07733,Saturday,7:0,16 mins
134,-37.86703,145.09159,-37.78093,145.07733,Saturday,12:0,22 mins
135,-37.86703,145.09159,-37.78093,145.07733,Saturday,18:0,20 mins
136,-37.86703,145.09159,-37.7820873,145.0778256,Monday,7:0,19 mins
137,-37.86703,145.09159,-37.7820873,145.0778256,Monday,12:0,21 mins
138,-37.86703,145.09159,-37.7820873,145.0778256,Monday,18:0,23 mins
139,-37.86703,145.09159,-37.7820873,145.0778256,Friday,7:0,19 mins
140,-37.86703,145.09159,-37.7820873,145.0778256,Friday,12:0,22 mins
141,-37.86703,145.09159,-37.7820873,145.0778256,Friday,18:0,24 mins
142,-37.86703,145.09159,-37.7820873,145.0778256,Saturday,7:0,17 mins
143,-37.86703,145.09159,-37.7820873,145.0778256,Saturday,12:0,24 mins
144,-37.86703,145.09159,-37.7820873,145.0778256,Saturday,18:0,21 mins
