loss,mape,val_loss,val_mape
0.07251954078674316,843185.25,0.050742171704769135,3559308.0
0.03917694464325905,650061.4375,0.021578850224614143,1917225.125
0.021070459857583046,337461.21875,0.015974555164575577,1263544.625
0.018445225432515144,248639.21875,0.014578242786228657,1110803.625
0.016821978613734245,240722.953125,0.013453430496156216,1091066.0
0.015634797513484955,213361.5,0.012444321066141129,1115029.0
0.014291859231889248,267398.90625,0.01159448828548193,1094706.375
0.013183411210775375,270608.40625,0.010544370859861374,1015769.8125
0.012193395756185055,238923.296875,0.009997614659368992,957032.375
0.011096431873738766,217902.359375,0.00904876459389925,1012700.3125
